,support,itemsets
141,0.0005053057099545225,11 10637 Via Rothesay
1156,0.0005053057099545225,BLUE 61213 to St. Norbert
30,0.0005053057099545225,11 10548 Via Westwood
351,0.0005053057099545225,19 10313 Via Drake
23,0.0005053057099545225,11 10547 Via Donwood
20,0.0005053057099545225,11 10546 Via Westwood
26,0.0005053057099545225,11 10547 Via St.Charles
356,0.0005053057099545225,19 10413 Via Autumnwood
150,0.0005053057099545225,11 10800 Via Glenway
929,0.0005053057099545225,75 50312 To University of Manitoba
1093,0.0005053057099545225,BLUE 11032 to St. Norbert
932,0.0005053057099545225,75 50401 Speers- Elizabeth
770,0.00025265285497726126,60 60155 To University of Manitoba
1103,0.00025265285497726126,BLUE 60093 To Downtown
750,0.00025265285497726126,60 60128 To Downtown
1085,0.00025265285497726126,BLUE 11030 To Downtown
1056,0.00025265285497726126,BLUE 10134 to St. Norbert
1057,0.00025265285497726126,BLUE 10157 To Downtown
1066,0.00025265285497726126,BLUE 10616 to St. Norbert
758,0.00025265285497726126,60 60138 To University of Manitoba
1099,0.00025265285497726126,BLUE 11034 to St. Norbert
767,0.00025265285497726126,60 60152 To Downtown
754,0.00025265285497726126,60 60130 To University of Manitoba
1068,0.00025265285497726126,BLUE 10624 To Downtown
753,0.00025265285497726126,60 60130 To Downtown
752,0.00025265285497726126,60 60129 To Downtown
1100,0.00025265285497726126,BLUE 60065 to St. Norbert
751,0.00025265285497726126,60 60128 To University of Manitoba
1086,0.00025265285497726126,BLUE 11030 University of Manitoba
769,0.00025265285497726126,60 60154 To University of Manitoba
1069,0.00025265285497726126,BLUE 10624 University of Manitoba
756,0.00025265285497726126,60 60132 To Downtown
900,0.00025265285497726126,672 60742 University of Manitoba
1106,0.00025265285497726126,BLUE 60099 to St. Norbert
1108,0.00025265285497726126,BLUE 60103 to St. Norbert
726,0.00025265285497726126,58 50490 To Downtown
725,0.00025265285497726126,55 50284 Via Dakota
724,0.00025265285497726126,55 50278 Via Meadowood
723,0.00025265285497726126,55 50275 Via Meadowood
1161,0.00025265285497726126,BLUE 61216 University of Manitoba
1162,0.00025265285497726126,BLUE 61216 to St. Norbert
